,post_publish_time,title,source_url,content,code_name,text_type
0,2022-05-29 17:40:00+08:00,加码绿色水电铝产能 中孚实业拟10.26亿元收购林丰铝电30%股权,http://www.zqrb.cn/gscy/gongsi/2022-05-29/A1653817009258.html,    本报记者 肖艳青     5月28日，中孚实业发布公告称，拟收购其控股股东河南豫联能源集团有限责任公司（以下简称“豫联集团”）持有的林州市林丰铝电有限责任公司（以下简称“林丰铝电”）30%的股权，收购价格10.26亿元，为林丰铝电30%股权评估值的90%。林丰铝电享有广元市林丰铝电有限公司（以下简称“广元林丰铝电”）100%股东权益。     中孚实业表示，本次收购完成后将新增“绿色水电铝”权益产能，可同公司下游铝精深加工形成良好的产业协同效应，提升公司可持续发展能力，增厚上市公司业绩。     浙江大学国际联合商学院数字经济与金融创新研究中心联席主任、研究员盘和林在接受《证券日报》记者采访时表示：“从公司发展角度，这能够让公司业务获得新的协同助力，尤其是如今‘双碳’目标下，通过绿色水电铝的方式，能够让公司较快完成生态转型，是双赢的。从行业的角度看，铝是一项重要的工业原料，具备很好的需求市场，但铝价波动越来越小，未来规模效应对于企业来说也至关重要，所以提升产量规模也有利于中孚实业强化行业地位。”     加码“绿色铝”产能     2021年中孚实业进行了司法重整，化解了债务危机，公司发展重回良性轨道。对于此次收购，中孚实业表示：“根据重整计划要求，公司在重整程序结束后，将结合自身资源条件、能力与优势、所处产业的特点和行业竞争态势，聚焦主营业务及产业核心竞争力，继续发挥以煤炭开采、火力发电、电解铝、铝精深加工为一体的全产业链经营模式，延链补链、提质增效，适时置入与公司主营业务能够发挥协同效应的优质资产，提升上市公司盈利能力。”     广元林丰铝电位于四川省广元市，拥有25万吨/年“绿色水电铝”产能，其生产用电为绿色、清洁、可持续的水电，能源结构和成本优势明显，符合实现“碳达峰、碳中和”目标的相关要求。     2020年7月，广元林丰铝电电解铝产能全部投产后，盈利能力逐年增长，2020年度、2021年度、2022年一季度分别实现净利润2.09亿元、9.05亿元、2.61亿元，影响归属于上市公司股东净利润分别为0.75亿元、3.23亿元、0.93亿元，呈稳步增长趋势。     在清晖智库创始人宋清辉看来，中孚实业此次收购林丰铝电30%股权，有利于提升公司业绩水平，推动公司稳健向前发展。     电解铝绿色化布局加速跑     “双碳”目标下，电解铝行业绿色化布局将加速。     2021年10月，国家发展改革委等部门发布《关于严格能效约束推动重点领域节能降碳的若干意见》和《冶金、建材重点行业严格能效约束推动节能降碳行动方案（2021-2025年）》，指出要分步实施、有序推进，突出抓好重点行业节能降碳工作，有力推动钢铁、电解铝、水泥、平板玻璃等重点行业绿色低碳转型，确保如期实现碳达峰目标。到2025年，通过实施节能降碳行动，钢铁、电解铝、水泥、平板玻璃等行业能效达到标杆水平的产能比例超过30%。     中原证券研究所负责人牟国洪对《证券日报》记者表示：“近年来，我国电解铝行业开始加快向绿色低碳模式转型，电解铝产能开始向清洁能源地区转移，绿电铝占比不断提高，我国电解铝行业的竞争格局发生改变，由原来自备电厂角逐的电解铝用能优势竞争格局变为以水电铝为主的绿色产能竞争新格局。未来随着电解铝行业产能置换的进程加快，用电结构中火电的占比会进一步下降，水电等绿色产能的占比将会进一步提高。”     “双碳”目标下，国内铝企正多渠道布局绿色铝电产能，公开资料显示，近年来已有神火股份、中铝集团、山东魏桥、中孚实业、其亚集团等国内主要铝企将电解铝冶炼厂从山东、河北、河南等中原腹地转移至风电资源丰富的内蒙古和水电资源富饶的云贵川等地。     中辉期货研报指出：“随着‘双碳’目标推进，在稳经济和环保的双政策影响下，电解铝的绿色革命之路刻不容缓。一方面，通过绿色电力革命，加快水电铝供应替代和城市铝矿山，再生铝的挖掘，从而降低电解铝产业碳排放。另一方面，电解铝产业跟随需求结构从建筑铝向汽车铝的升级转型，进行产业链绿色革命，做精做专做强，提高产品科技附加值，环保绿色附加值。” （编辑 何帆 上官梦露）,600595.sh,news
1,2022-09-22 22:50:00+08:00,盟浪ESG避雷日报| 上市企业负面舆情警示（9月21日）,https://cj.sina.com.cn/articles/view/7615684910/1c5ee212e00100yjqw,"盟浪精选9月21日上市企业负面舆情信息，涵盖安全事故、董监高异常、股权质押风险、财务造假、证监会处罚等多个方面内容，详情如下： F=财务负面；E=环境负面；S=社会负面；G=公司治理负面 单风险 社会负面 S/安全事故中孚实业（600595）：停产整改！中孚实业子公司下属煤矿现安全事故致5死中孚实业称，2022年9月21日，公司接控股孙公司河南豫联煤业集团有限公司（下称“豫联煤业”）通知，该公司控股子公司郑州广贤工贸有限公司（下称“广贤工贸”）下属新丰煤矿在停采区进行清理巷道、维护棚柱过程中，发生了高浓度二氧化碳等有害气体引发的窒息事故，造成5人死亡。目前善后各项工作正在有序开展。 公司治理负面 G/董监高异常 楚天龙（003040）：楚天龙董事长突发辞职，因涉嫌违法被立案调并采取留置措施 9月21日晚间，楚天龙股份有限公司（股票简称：楚天龙，股票代码：003040）突发公告，近日收到公司实际控制人之一、董事长毛芳样家属的通知，根据北京市昌平区监察委员会的文件，毛芳样因涉嫌违法被立案调查并采取留置措施。 G/股权质押风险 太安堂（002433）：截至本公告披露日，股东太安堂集团累计被冻结股份约3601万股 太安堂（SZ 002433，收盘价：4.12元）9月21日晚间发布公告称，截至本公告披露日，股东太安堂集团累计被冻结股份约3601万股，占其所持股份比例的23.38%，占公司总股本的4.7%。 松发股份（603268）：刘壮超所持739.2万股被轮候冻结 松发股份（603268.SH）公布，持股5%以上股东刘壮超持有的公司股份739.2万股及2017年第一次红利528万份、轮候冻结期间产生的孳息被执行轮候冻结，该次轮候冻结股份占公司总股本的5.95%，占其持股数量的100%。冻结起始日为2022年9月20日，冻结期限为36个月，自转为正式冻结之日起计算。 ST广田（002482）：控股股东所持3117万股被轮候冻结 ST广田（002482.SZ）公布，公司于近日通过中国证券登记结算有限责任公司系统查询获悉，公司控股股东广田控股所持有的公司股份被轮候冻结，本次被轮候冻结3117万股。 *ST中昌（600242）：公司控股股东持有的部分股份被继续冻结 *ST中昌（600242）公告重要内容提示，根据中国证券登记结算有限责任公司上海分公司出具的《股权司法冻结及司法划转通知》（2022司冻0920-1号）以及山东省青岛市中级人民法院出具的《协助执行通知书》（（2020）鲁02执1491号之二）,公司控股股东上海三盛宏业投资（集团）有限责任公司所持有的31,800,000股无限售流通股股份被司法冻结质押续冻，截止本公告日,三盛宏业持有的公司全部41,800,000股股份均处于冻结状态。 多风险 G/信披违规；G/证监会处罚 胜利精密（002426）：胜利精密（002426）被中国证券监督管理委员会处罚，处罚金额为160万元9月22日，胜利精密（002426）发布公告称，公司,公司子公司苏州市智诚光学科技有限公司时任总经理,公司子公司苏州市智诚光学科技有限公司时任财务总监,公司时任董事长兼总经理高玉根,公司时任董事、副总经理乔奕,公司时任财务负责人许永红,公司时任财务负责人王成违反了中华人民共和国证券法,上市公司信息披露管理办法，被中国证券监督管理委员会给予罚款,警告,行政处罚处罚，处罚金额为160万元。 胜利精密2016年年度报告、2017年年度报告、2018年年度报告存在虚假记载,违反了2005年《证券法》第六十三条的规定,构成了2005年《证券法》第一百九十三条第一款所述情形。王汉仓作为智诚光学原实际控制人、时任总经理,郭文杰作为智诚光学时任财务总监,是胜利精密信息披露违法违规行为的直接负责的主管人员。处罚说明如下：根据当事人违法行为的事实、性质、情节与社会危害程度,依据2005年《证券法》第一百九十三条第一款的规定,我会决定:一、对苏州胜利精密制造科技股份有限公司给予警告,并处以60万元罚款;二、对王汉仓和郭文杰予以警告,并分别处以30万元罚款;三、对高玉根、乔奕、许永红和王成给予警告,并分别处以10万元罚款。",600595.sh,news
2,2023-02-22 12:49:00+08:00,金岭煤业恢复生产 中孚实业：旗下其他停产公司具体复工时间待定,https://www.cls.cn/detail/1274300,财联社2月22日讯（记者张晨静 实习记者 马璐瑶）停业五个月后，中孚实业（600595.SH）旗下金岭煤业将恢复生产。公司相关负责人向财联社记者表示，复产后将有利于公司降低火力发电业务煤炭采购成本，目前具体影响还无法确定，其他停工子公司复工时间还不确定。 2月21日，中孚实业发布公告，登封市煤炭企业兼并重组工作领导小组办公室出具了《关于同意郑州磴槽企业集团金岭煤业有限公司复产的通知》(登煤重组办【2023】9 号)，同意郑州磴槽企业集团金岭煤业有限公司(以下简称“金岭煤业”)复产。 据了解，中孚实业煤炭开采产能225万吨/年，金岭煤业产能120万吨/年，超过公司总产能50%。中孚实业主要业务为铝及铝精深加工，配套煤炭开采、火力发电、炭素等产业。金岭煤业复产后，能有效降低公司火力发电和铝产品成本。 记者致电公司董秘办，相关负责人表示，“金岭煤业复产对公司影响还不确定，公司是根据生产情况和电厂煤炭的使用量进行煤炭外购和自用的调整，也有部分煤炭会外售。 根据中孚实业公告，2022年9月因安全生产事故，公司旗下部分公司停业整顿。截至目前，郑州市慧祥煤业有限公司（具有45万吨/年煤炭开采产能）处于复工复产准备阶段，郑州广贤工贸有限公司新丰煤矿（具有60万吨/年煤炭开采产能）正在按要求进行停产整顿。 对于旗下其他公司复产情况，上述负责人透露，复工情况要等煤炭管理办公司出具的文件，具体的复工时间还不确定。 （编辑 刘琰）,600595.sh,news
3,2023-03-31 11:54:00+08:00,业绩涨逾六成 中孚实业：扩产计划稳步进行|年报解读,https://www.cls.cn/detail/1310170,财联社3月31日讯（记者 张晨静 实习记者 马璐瑶）铝价上涨，铝产品销量增加，中孚实业（600595.SH）业绩涨逾六成。公司相关人士告诉财联社记者，目前公司铝深加工产能为45万吨/年，项目建设完成后将达到69万吨/年，扩产计划一直在进行中。 中孚实业昨日披露2022年年报，公司实现营业收入175.17亿元，同比增长14.61%；归属于上市公司股东的净利润约10.5亿元，同比增长60.06%；扣非净利润9.85亿元，同比增长42.77%。 公告中显示，2022年中孚实业电解铝销售量20.35万吨，同比增加29.94%；铝加工产品销售量52.31万吨，同比下降4.7%。核心产品易拉罐罐体，罐盖，拉环料销量合计占比约80%以上，实现出口销量约30.56万吨，同比增加30.49%。 公司相关人士告诉记者，公司现在的主打产品是易拉罐罐体罐盖及拉环料，公司罐盖料市占率稳居第一。就目前情况来说，产品产销量仍在稳步增长。 据了解，中孚实业部分电解铝产能已实现“绿色水电铝”布局，具有一定的能源结构和成本优势。 公司上述人士告诉记者，公司转移到广元的50万吨电解铝产能一部分将用于下游的铝精深加工，增强协同效应，来降低下游生产的碳含量。 （编辑；曹婧晨）,600595.sh,news
4,2022-11-10 15:09:00+08:00,能源价格上涨电解铝成本居高不下 中孚实业：正在研究屋顶光伏开发相关方案,https://www.cls.cn/detail/1180428,财联社11月10日讯（记者 张晨静）受铝价下行和能源价格差异影响，三季度铝企业绩分化，10月电解铝全行业亏损比重再次扩大。11月10日，中孚实业（600595.SH）总经理钱宇及高管在三季报业绩会中向财联社记者及投资者表示，铝精深加工业务已逐步成为公司稳定利润来源，前三季度利润占比超60%，同时根据现有能源政策，公司厂区具备开发屋顶光伏的条件，目前正在研究相关方案。 今年下半年，河南地区电解铝企业电价成本较高，但铝价整体低迷。根据Mysteel测算，按完全成本计算，10月电解铝全行业理论亏损比重已从9月20%扩大至38%，其中河南电解铝产能成本维持2万元/吨之上。 （数据来源：Mysteel） 业绩会中有投资者提问公司电解铝成本价，中孚实业并未正面回答。公司总经理钱宇表示，为了减少原材料价格波动对公司影响，公司配套煤炭开采、火力发电、炭素等产业链布局，目前成本具有一定优势，未来两个月，受全球能源危机影响，预计铝价大幅下跌的可能性较小，暂无减产计划。同时铝精深加工业务已逐步成为公司稳定利润来源，其定价采用“长江现货（或LME）铝锭价+加工费”模式。 钱宇表示，2022年前三季度公司铝精深加工实现产品销量38.03万吨，较去年同期增长9.3%；利润占比超过60%，目前产销量稳定。 值得一提的是，对于铝精深加工业务未来产能计划，钱宇在业绩会中透露，截至目前，公司年产12万吨高精铝板带材项目正在进行调试，预计2022年12月份正式投产；年产15万吨高精铝合金板锭材项目已经进入安装调试阶段，预计2023年1月份投入生产；年产12万吨绿色新型包装材料项目和年产6万吨铝及铝合金带材涂层生产线一期项目（年产3万吨）进行设备安装，预计2023年上半年投入生产。 财报显示，中孚实业主要业务铝及铝精深加工，今年前三季度公司实现营业收入145.32亿元，同比增长36.31%；归母净利润11.54亿元，同比增长128.67%。三季度公司实现营业收入45.39亿元，同比增长22.82%；归母净利润1.7亿元，同比增长42.44%。 （编辑 刘琰）,600595.sh,news
5,2021-09-28 07:16:00+08:00,中孚实业重整执行有序推进 生产经营明显向好,,    河南中孚实业股份有限公司（股票简称：*ST中孚，股票代码：600595，以下简称“中孚实业”）是以铝及铝精深加工为主体产业链条的行业龙头企业，此前由于短期债务规模大、融资途径受阻、流动资金紧张而司法重整。今年8月10日，郑州市中级人民法院裁定批准公司重整计划，公司重整程序终止并进入重整计划执行阶段。最新公告显示，公司资本公积转增、以股抵债已经开始实施，执行期其他工作也在有序开展，公司经营、股价积极向好。     中孚实业9月26日晚间公告显示，根据重整计划及法院作出的《民事裁定书》，本次重整以公司现有总股本19.61亿股为基数，按每10股转增10股的比例实施资本公积金转增股本（不足一股按一股计算），转增的19.61亿股股票部分用于抵偿债务，预计抵债规模为149.56亿元，剩余部分股票由管理人进行附条件公开处置，股票处置所得导入增量现金。     公司重整计划以“以股抵债”方式偿还公司普通债权中超过20万元以上的金融类普通债权，实施完成后将根本性改善公司资产负债结构，减轻债务负担，从而提高公司经营能力，重回良性发展轨道。     根据公告，本次中孚实业转增的股票均为无限售流通股，在本次股权登记日2021年9月30日之后，公司以股抵债的方式清偿负债，将大幅增厚中孚实业的账面净资产，且转增股票对价系在考虑公司未来业绩和参照股票二级市场价格基础上，兼顾债权人、中孚实业和中孚实业原股东等各方利益后确定，并经中孚实业债权人会议和出资人组会议表决通过后执行，原股东权益未被稀释，故转增股份及作价不纳入除权参考价格计算公式范围。     同时，根据重整计划中对有财产担保债权的规定，中孚实业将以现金方式予以留债分期清偿，留债期间利息以未清偿留债额度为计算基数，每季度最后一个月的20日为结息日，结息日的次日为付息日。在今年第三季度的付息日前，公司已于9月中旬完成了留债的第一次季度付息，公司信用正在修复，有望恢复正常的融资功能。     公司目前聚焦主营业务及产业核心竞争力，在电解铝领域，已通过产能转移方式，在四川广元构建完成“绿色水电铝”产业布局，有助于减少碳排放以履行社会责任，降低能源消费成本以提升市场竞争力；在铝精深加工领域，紧盯“绿色、低碳、循环发展”要求及轻量化市场需求，加大技术研发，加速市场开发及布局，致力成为国际高端绿色铝材优秀供应商。2021年上半年，公司实现营业收入69.65亿元，同比增长124.55%；实现利润总额9.92亿元，较去年同期增加13.34亿元；整体毛利率达同行业较好水平。     恰遇行业较好的发展形势，铝价持续走高。9月13日上期所沪铝主力价格最高达到23895元/吨，创下15年来最高价，截至9月24日，上期所沪铝主力价格收盘价22945元/吨，继续处于历史高位。并且，随着“能耗双控”不断升级，国内部分地区“限电压产”政策纷纷推出，推动铝价继续冲高。据了解，公司位于河南巩义的子公司中孚铝业生产用电主要由子公司中孚电力自备机组供应，位于四川广元的林丰铝电生产用电采用水电，目前暂无区域电力短缺问题困扰，公司整体生产经营情况向好。     受重整预期、主营业务能力盈利提升和有利的行业发展态势等方面的影响，公司今年以来股价呈现持续上涨走势，相比于年初1.80元/股的低点，公司9月24日收盘价4.99元/股累积涨幅达到177.22%，表明广大投资者对公司未来充满信心。（CIS）,600595.sh,news
6,2023-03-10 20:51:00+08:00,中孚实业子公司50万吨电解铝产能已全部恢复正常生产,http://www.zqrb.cn/gscy/gongsi/2023-03-10/A1678451853031.html,    本报记者 肖艳青     3月10日晚间，中孚实业公告称，截至公告发布当日，其子公司广元市林丰铝电有限公司（以下简称“广元林丰”）和广元中孚高精铝材有限公司（以下简称“广元中孚”）合计50万吨/年电解铝产能已全部启动完成并恢复正常生产。     据悉，2022年8月14日，中孚实业子公司广元林丰和广元中孚因极端天气影响，电力供应紧张，部分产能停产。该部分产能已于2022年8月28日起开始有序复产。     中孚实业表示，本次复产有利于公司充分发挥“绿色水电铝”能源结构和成本优势，增强公司盈利能力；同时可与公司下游铝精深加工形成良好的产业协同效应，提升公司可持续发展能力。 （编辑 李波）,600595.sh,news
7,2023-08-01 17:33:00+08:00,沪指出现上涨两颗星特征，新一轮上攻行情或开启,https://cj.sina.cn/articles/view/2151871124/8042f294001012y4u?cre=tianyi&mod=wftop&loc=1&r=0&rfunc=91&tj=cxvertical_wap_wftop&tr=167,行情梳理 大盘全天震荡，三大指数均小幅收跌，沪指3300点再度得而复失。个股上看，跌多涨少3000+股下跌，3股跌停；1900+股上涨，39只涨停，实际涨停33家。 涨停个股上看，连板率极低，炸板率高，太平洋、西南证券、金陵饭店、国芳集团等均炸板，市场高度板上升至5连板的国创高新，华西能源、众泰汽车2板，首板30只。可以看出，短线情绪也比较低迷，将至了近期的低点，后续看情绪龙头国创高新的表现，能否带动市场情绪回暖。 量能上看，两市消费的缩量调整，但两市全天成交逼近万亿，达9576亿元，较上个交易日缩量1486亿元。值得注意的是，北向资金仍然呈现净买入态势，全天净买入48.54亿元，连续6个交易日净买入，分市场来看，沪股通净买入48.18亿元，深股通净买入0.36亿元。显然北向资金仍然加大抄底力度。 从盘面上看，板块跌多涨少，板块轮动节奏有所加快，前面几个交易日大涨的券商和房地产出现调整。而周期股表现活跃，其中有色金属概念股午后走强，豫光金铅、金徽股份、中孚实业涨停；稀土概念股展开反弹，中科磁业涨超10%；钢铁股早盘冲高，盛德鑫泰20CM涨停，安阳钢铁、重庆钢铁涨停；午后超导概念股集体大涨，国缆检测20CM涨停，创新新材、百利电气、法尔胜、东方胆业、中孚实业、永鼎股份、精达股份等涨停；电力股全天强势，杭州热电、大连热电、新中港涨停。下跌方面，消费股、新型城镇化概念等跌幅居前。 超导概念股涨停潮，能持续多久？ 今日午后，超导概念集体大涨，多只个股涨停，国缆检测20CM涨停，创新新材、百利电气、法尔胜、东方胆业、中孚实业、永鼎股份、精达股份涨停。 消息面上，美国泰吉量子公司公布照片称，新发现一种室温超导材料，系一种石墨烯泡沫材料，非常易碎。泰吉量子公司称，“这种独特的II型超导体（专利号：17249094）可在较宽的温度范围内工作，包括远高于室温的温度，从约-100° F(-73° C) 到约302° F (150° C) ——这是在超导体世界中并不常见的一种特性。 受此消息刺激，美国超导公司在盘前大涨一度大涨超100%。 此前，7月28日，韩国一个科学家团队表示，他们发现了全球首个室温常压超导材料——改性铅磷灰石晶体结构（下称LK- 99，一种掺杂铜的铅磷灰石）。 那么，此次超导概念能炒作多久呢？目前世界上对室温超导还存在质疑，对A股来说只能看做一个短线的热点炒作。 但需要主要的是，在涨停的8只个股中，除了国缆检测、东方胆业2只个股股价超10元外，其他均是属于低价股，符合当下资金抱团低价的风格。因此，在热点加持下，这些低价股有望进一步走强。 重点关注：法尔胜、精达股份、创新新材、中孚实业 指数新一轮上攻或将开启 今日沪指日K线上再收十字星，形成了上涨两颗星的K线组合。上涨两颗星K线组合含义在是上涨初期有加速上涨的意义。 从均线指标来看，5日均线持续上移靠近120日均线，即将有上穿金叉，10日均线已分别上穿250、20日均线，向60日均线靠近，目前指数的震荡，主要是完成均线指标的互换，目前短期的5、10、20日均线已经初具多头排列的雏形，在上涨两颗星的加持下，预计上攻行情即将来临。而从MACD指标上看，双线金叉后上行快线已经穿过零轴，红色动能柱持续放量，从运行轨迹上看，已经具备了再次发起上攻的动能。上方压力在3320-3350一线。 以上观点不构成任何操作建议，股市有风险，投资需谨慎。本报，告基于独立、客观、公正和审慎的原则制作，信息均来源于公开资料，本公司对这些信息的准确性和完整性不作任何保证。,600595.sh,news
8,2023-08-02 23:24:03+08:00,室温超导爆火，概念股大涨，超15家公司作出回应,https://www.163.com/dy/article/IB61V0BP0534A4SC.html,界面新闻实习记者 高菁 受室温超导获突破的消息影响，超导概念股今日大涨。 同花顺数据显示，截至8月2日收盘，18只超导概念股中，超六成股票飘红。其中，国缆检测(301289.SZ)、中孚实业(600595.SH)、百利电气(600468.SH)冲高涨停。 国缆检测涨幅达20%，报收于52.34元，且连续两个交易日涨停。中孚实业和百利电气实现了连续三个交易日收盘价格涨幅偏离值累计超过20%。 此外，超频三(300647.SZ)、精达股份(600677.SH)、永鼎股份(600105.SH)等超导概念股也实现了超5%的涨幅。 与此同时，多家公司开始下场回应是否涉及室温超导领域。 据界面新闻不完全统计，已有超15家公司针对超导材料相关问题进行回复，多数企业表示未涉及“室温超导”。 国缆检测(301289.SZ)今日公告，该公司目前没有与常温超导概念相关的技术，未产生收入。 据第一财经报道，中孚实业(600595.SH)称，目前也没有室温超导技术，只有高温超导电缆示范工程项目，应用在自用的电解铝供电环节。 百利电气(600468.SH)也发布公告表示，该公司主营业务为输配电及控制设备、电线电缆及泵。公司不涉及“室温超导”相关业务，也未开展相关研发和投入。 法尔胜(000890.SZ)今日公告，公司股票8月1日、8月2日连续两个交易日收盘价格涨幅偏离值累计超过20%，达成六天四板。法尔胜表示，其主营业务为金属制品及环保业务，不涉及“室温超导”相关业务，也未开展相关研发和投入。 全信股份(300447.SZ)也回应称，公司目前尚未涉及超导相关领域。祥源新材(300980.SZ)表示，公司当前暂未研究生产超导材料。 室温超导这波热潮，开始于7月22日，韩国量子能源研究中心公司相关研究团队通过两篇论文及视频方式，宣布在常压条件下，一种改性的铅磷灰石（LK-99，以Lee和Kim的首字母命名）能够在400K（127℃）以下表现为超导体。 如果该成果被验证为真，这一材料不仅实现了常压条件，还将临界温度提升至400K（127℃），能源、交通、量子计算等多领域有望迎来根本性变革。这引发业内巨大关注。 韩联社7月28日发布的报道则显示，韩国团队发布的上述论文为高丽大学研究教授权英完未经其他作者许可擅自发布，目前团队已经提出了下架请求。 “两篇论文尚存在很多缺陷。”研究团队成员之一金贤卓在接受美国科学杂志《New Scientist》采访时表示。 财新网8月2日晚间报道称，韩国超导学会当日宣布成立“LK-99 验证委员会”，检验该成果的真实性。截至目前，学会根据两篇论文中提供的数据和已发布的视频，宣布LK-99不能被称为室温超导体。 多位科学家曾表示，LK-99的制备过程较为简易，实现该韩国研究团队的研究成果复现并验证真伪，最快只需约一周时间。 因此，国内外多个团队开始复现韩国研究团队的实验结果，以期证明室温超导材料是否真的获得突破。 民间科学论坛SpaceBattles Forums对正在进行的复现实验进行了统计，包括11个公开披露试验进度的团体列表以及6个个人进行实验的列表，半数来自中国。 在公开披露进度的团体中，截至目前，已有来自北京航空航天大学、曲阜师范大学、华中科技大学的三个团队完成了该复现实验。 其中，华中科技大学材料科学与工程学院常海欣教授带领的团队，成功首次验证合成了可以磁悬浮的LK-99晶体，并复现了其抗磁性，但是否为零电阻还需要进一步测试。 8月2日晚间，曲阜师范大学的实验结果显示，LK-99具有抗磁性，但未发现零电阻特性。 北京航空航天大学的实验结果也表明，没有在LK-99上检测到超导性。 国泰君安发布研报称，超导材料具备显著性能优势，但温室超导仍处于实验室研发阶段。“因此对室温超导材料的研究和商业化进程应保持理性客观的态度，密切跟踪后续实验验证情况。”,600595.sh,news
9,2022-08-14 18:45:00+08:00,中孚实业子公司因限电停产 预计影响净利润约0.78亿元,https://company.stcn.com./gsxw/202208/t20220814_4797349.html,今夏全国多地异常高温，显著提升供电压力，对生产生活用电带来不同程度影响。 8月14日晚间中孚实业(600595)公告，子公司广元市林丰铝电有限公司（下称“广元林丰”）和参股子公司广元中孚高精铝材有限公司（下称“广元中孚”）接国网四川省电力公司通知，因极端天气影响，电力供应紧张，广元林丰和广元中孚部分产能需于2022年8月14日起停产一周。 广元林丰为中孚实业控股子公司河南中孚铝业有限公司（下称“中孚铝业”）的控股子公司，本次限电政策预计影响电解铝产量减少约0.73万吨，预计影响归属于上市公司净利润减少约0.55亿元。 广元中孚为公司参股子公司，公司持有其15.93%的股权，中孚铝业持有其32.56%的股权，本次限电政策预计影响电解铝产量减少约0.56万吨，预计影响归属于上市公司净利润减少约0.23亿元。 也就是说，本次限电将对中孚实业带来共计0.78亿元的业绩影响。 国网四川省电力公司官网显示，8月8日该公司发出“致全省用电客户的一封感谢信”，号召工业企业继续响应主动错避峰用电，市民随手关灯、空调温度设置不低于26℃，共同打赢今夏高温保供电这场“攻坚战”。 而除四川外，在今夏高温酷暑持续背景下，包括安徽、浙江、江苏在内的多个省市启动有序用电，要求工业企业错峰生产、保障民生用电，并发布节约用电倡议书。 据合肥市人民政府发布微信号消息，8月9日，合肥市发改委和国网合肥供电公司发布致全市电力用户节约用电倡议书，倡议机关单位率先节电、工业企业科学用电、商业场所合理用电、居民用户节约用电。其中工业企业要科学合理安排生产班次，通过计划检修、企业轮休、调班运营等方式错避峰让电，主动支持缓解用电高峰时段供电压力。 近日，南京市发展和改革委员会、国网南京供电公司也联合向全市各机关、企事业单位和广大居民朋友们发出节约用电倡议，号召全社会共同践行绿色低碳生产生活方式，节约用电。 2021年完成重整后，中孚实业业绩获得有效提升。对于此番限电，该公司也表示，广元林丰和广元中孚将通过调整检修计划，积极做好复产准备，减少对上市公司的影响。 2022年上半年，中孚实业预计实现净利润约为9.5亿元至9.9亿元，与上年同期相比，将增加5.65亿元至6.05亿元，同比增加146.72%至157.11%；预计实现扣非净利润约为9.2 亿元至9.6亿元，与上年同期相比，将增加5.21亿元至5.61亿元，同比增加130.44%至140.46%。 对于上半年业绩大幅增长，中孚实业表示，公司不断加大铝精深加工产品国内外市场开发，实现销量约25万吨，较去年同期增加约10%。公司不断优化铝精深加工产品结构，核心产品易拉罐罐体、罐盖、拉环料销量合计占比约 80%；汽车板用料实现批量供货。铝精深加工业务已逐步成为公司稳定利润来源。 同时期内上海有色网铝锭均价21398.63元/吨，较去年同期上涨约23%。受益于良好的市场形势，公司电解铝能源结构及成本优势得以体现，绿色水电铝业务增厚公司业绩。 此外，报告期内，中孚实业煤炭业务正常生产，减少了煤炭价格波动对公司火力发电成本的部分影响，公司“煤—电”业务协同效应得到有效发挥。,600595.sh,news
