publish_date,code_name,summary,label,trend_before
2012-12-26,002594.sz,"本日比亚迪的相关新闻标题如下：'比亚迪计划2013年在美国加州建厂 投产电动大巴', '王传福想三方利益分摊：纯电动或明年破冰'",positive,"0.083,0.068,0.055,0.045,0.035,0.027,0.019,0.011,0.004,-0.003"
2012-12-28,002594.sz,本日比亚迪的相关新闻标题如下：'比亚迪逆市布局光伏',positive,"0.055,0.045,0.035,0.027,0.019,0.011,0.004,-0.003,-0.009,-0.016"
2012-12-28,600577.sh,本日精达股份的相关新闻标题如下：'精达股份获高管增持4万股',neutral,"-0.013,-0.013,-0.013,-0.013,-0.013,-0.013,-0.013,-0.013,-0.013,-0.013"
2012-12-28,600595.sh,本日中孚实业的相关新闻标题如下：'中孚实业：铝加工转型升级取得实质性进展',neutral,"-0.011,-0.011,-0.011,-0.011,-0.011,-0.012,-0.012,-0.012,-0.012,-0.012"
2012-12-29,002594.sz,本日比亚迪的相关新闻标题如下：'比亚迪向深圳市公安局交付500台e6纯电动警务用车',positive,"0.055,0.045,0.035,0.027,0.019,0.011,0.004,-0.003,-0.009,-0.016"
2013-01-04,002460.sz,"本日赣锋锂业的相关新闻标题如下：'赣锋锂业拟募资5亿扩产 董事长自掏4000万元力挺', '赣锋锂业定增募资5.18亿扩产', '赣锋锂业拟定增3180万股 募资5.18亿投3项目'",positive,"0.27,0.173,0.113,0.072,0.038,0.01,-0.018,-0.045,-0.076,-0.096"
2013-01-05,002460.sz,"本日赣锋锂业的相关新闻标题如下：'赣锋锂业董事长挺定增费思量 高管频减持遭质疑', '赣锋锂业拟募资5亿扩产董事长掏4000万力挺', '赣锋锂业董事长力挺定增股价涨停 股民:输送利益'",positive,"0.27,0.173,0.113,0.072,0.038,0.01,-0.018,-0.045,-0.076,-0.096"
2013-01-08,002594.sz,"本日比亚迪的相关新闻标题如下：'比亚迪纯电动大巴拿到欧盟市场“准入证”', '比亚迪纯电动大巴首获欧盟整车认证'",positive,"0.019,0.011,0.004,-0.003,-0.009,-0.016,-0.024,-0.032,-0.037,-0.04"
2013-01-08,600468.sh,本日百利电气的相关新闻标题如下：'百利电气子公司拟2155.7万在新厂区进行设备投资',neutral,"-0.178,-0.213,-0.264,-0.351,-0.529,-1.098,10.931,0.894,0.46,0.307"
2013-01-11,002594.sz,"本日比亚迪的相关新闻标题如下：'厦门钨业否认“被采购” 比亚迪概念仍存疑', '比亚迪2013年新能源汽车销售开局良好'",positive,"-0.003,-0.009,-0.016,-0.024,-0.032,-0.037,-0.04,-0.044,-0.048,-0.052"
2013-01-15,002594.sz,本日比亚迪的相关新闻标题如下：'王传福坦承比亚迪三大错误 扩张过快品质没做好',positive,"-0.016,-0.024,-0.032,-0.037,-0.04,-0.044,-0.048,-0.052,-0.057,-0.063"
2013-01-15,600577.sh,"本日精达股份的相关新闻标题如下：'精达股份拟1亿元回购1960万股股份', '精达股份拟不超1亿回购公司股份'",neutral,"-0.013,-0.014,-0.014,-0.014,-0.014,-0.014,-0.014,-0.014,-0.014,-0.014"
2013-01-16,600577.sh,本日精达股份的相关新闻标题如下：'精达股份1953万回购390万股公司股份',neutral,"-0.014,-0.014,-0.014,-0.014,-0.014,-0.014,-0.014,-0.014,-0.014,-0.014"
2013-01-17,002594.sz,本日比亚迪的相关新闻标题如下：'王传福称比亚迪三年调控完成 三新车年内登场',positive,"-0.032,-0.037,-0.04,-0.044,-0.048,-0.052,-0.057,-0.063,-0.07,-0.077"
2013-01-28,002594.sz,本日比亚迪的相关新闻标题如下：'比亚迪净利润连年下滑 王传福坦言犯了三大错误',neutral,"-0.063,-0.07,-0.077,-0.086,-0.098,-0.1,-0.09,-0.075,-0.055,-0.032"
2013-02-07,002594.sz,本日比亚迪的相关新闻标题如下：'比亚迪的反思',positive,"-0.055,-0.032,-0.005,0.023,0.05,0.074,0.093,0.108,0.089,0.047"
2013-02-19,002594.sz,本日比亚迪的相关新闻标题如下：'比亚迪创半年新高',positive,"0.023,0.05,0.074,0.093,0.108,0.089,0.047,0.012,-0.021,-0.054"
2013-02-19,600595.sh,"本日中孚实业的相关新闻标题如下：'中孚实业拟增发 大股东输血20亿', '中孚实业拟定增募资20亿 大股东全包力挺', '中孚实业获大股东定向“输血”20亿', '中孚实业拟募资近20亿偿还借款', '中孚实业拟向大股东定增募资约20亿元'",neutral,"-0.014,-0.014,-0.014,-0.014,-0.014,-0.015,-0.015,-0.015,-0.015,-0.015"
2013-02-20,002594.sz,本日比亚迪的相关新闻标题如下：'离职工写50万字图书向比亚迪宣战：公司专捏软柿子',positive,"0.05,0.074,0.093,0.108,0.089,0.047,0.012,-0.021,-0.054,-0.093"
2013-02-26,600577.sh,本日精达股份的相关新闻标题如下：'精达股份2012净利增6% 拟10派0.2元',neutral,"-0.015,-0.015,-0.016,-0.016,-0.016,-0.016,-0.016,-0.016,-0.016,-0.016"
2013-02-27,002460.sz,本日赣锋锂业的相关新闻标题如下：'赣锋锂业：全年净利6962万 同比增28%',neutral,"0.106,0.116,0.122,0.125,0.125,0.124,0.122,0.119,0.115,0.111"
2013-02-28,002594.sz,"本日比亚迪的相关新闻标题如下：'比亚迪去年净利同比降94.15%', '比亚迪去年盈利蒸发94%', '比亚迪全年净利8100万元 同比下降94%'",neutral,"0.012,-0.021,-0.054,-0.093,-0.141,-0.209,-0.321,-0.556,-1.442,3.301"
2013-02-28,300014.sz,本日亿纬锂能的相关新闻标题如下：'亿纬锂能：锂离子电池业务今年预计增长200%',neutral,"-0.016,-0.021,-0.027,-0.033,-0.039,-0.046,-0.054,-0.064,-0.074,-0.087"
2013-03-02,002594.sz,"本日比亚迪的相关新闻标题如下：'比亚迪戴姆勒增资8.6亿 发力新能源汽车', '比亚迪子公司4.3亿增资比亚迪戴姆勒'",negative,"-0.021,-0.054,-0.093,-0.141,-0.209,-0.321,-0.556,-1.442,3.301,0.686"
2013-03-02,600577.sh,本日精达股份的相关新闻标题如下：'精达股份已回购757万公司股份',neutral,"-0.016,-0.016,-0.016,-0.016,-0.016,-0.016,-0.016,-0.016,-0.016,-0.016"
2013-03-04,600595.sh,本日中孚实业的相关新闻标题如下：'中孚实业火烧眉毛定增20亿 大股东豫联集团包揽',neutral,"-0.015,-0.016,-0.016,-0.016,-0.016,-0.016,-0.017,-0.017,-0.017,-0.017"
2013-03-05,002460.sz,本日赣锋锂业的相关新闻标题如下：'拷问再融资：锂电池事故频发 募投项目前景难料',neutral,"0.125,0.124,0.122,0.119,0.115,0.111,0.107,0.104,0.1,0.096"
2013-03-08,002460.sz,"本日赣锋锂业的相关新闻标题如下：'挖人偷技术绯闻缠身 赣锋锂业官司涉及定增项目？', '赣锋锂业陷“商业泄密”诉讼'",neutral,"0.119,0.115,0.111,0.107,0.104,0.1,0.096,0.093,0.089,0.086"
2013-03-13,002594.sz,"本日比亚迪的相关新闻标题如下：'比亚迪坚定发展新能源汽车', '比亚迪思锐完成多轮整车测试'",negative,"3.301,0.686,0.358,0.228,0.157,0.11,0.077,0.05,0.028,0.008"
2013-03-14,002460.sz,本日赣锋锂业的相关新闻标题如下：'赣锋锂业否认媒体多项质疑',negative,"0.104,0.1,0.096,0.093,0.089,0.086,0.083,0.08,0.07,0.054"
2013-03-15,002460.sz,本日赣锋锂业的相关新闻标题如下：'赣锋锂业遭起诉 称因不愿被“强买”资产',negative,"0.1,0.096,0.093,0.089,0.086,0.083,0.08,0.07,0.054,0.04"
2013-03-18,002594.sz,本日比亚迪的相关新闻标题如下：'比亚迪抢占新能源汽车制高点 ',negative,"0.228,0.157,0.11,0.077,0.05,0.028,0.008,-0.012,-0.024,-0.03"
2013-03-21,002594.sz,本日比亚迪的相关新闻标题如下：'比亚迪计划向香港输出45部电动的士',negative,"0.077,0.05,0.028,0.008,-0.012,-0.024,-0.03,-0.036,-0.043,-0.05"
2013-04-16,600468.sh,本日百利电气的相关新闻标题如下：'百利电气控股子公司参与中央预算内投资建设项目',neutral,"-0.02,-0.021,-0.023,-0.025,-0.027,-0.029,-0.032,-0.034,-0.037,-0.04"
2013-04-19,002594.sz,本日比亚迪的相关新闻标题如下：'探索新能源商业模式 比亚迪寻求二次腾飞 ',positive,"-0.46,-0.899,-9.356,1.174,0.565,0.377,0.285,0.231,0.246,0.285"
2013-04-19,600595.sh,本日中孚实业的相关新闻标题如下：'中孚实业收到财政补贴4588万',neutral,"-0.026,-0.026,-0.027,-0.028,-0.028,-0.029,-0.03,-0.03,-0.031,-0.032"
2013-04-26,002594.sz,"本日比亚迪的相关新闻标题如下：'比亚迪业绩骤增 手机业务表现最抢眼', '比亚迪首季净利增3倍 1-6月预计暴增23-29倍', '比亚迪一季度净利润增315% 上半年预增近30倍'",very positive,"0.377,0.285,0.231,0.246,0.285,0.29,0.278,0.259,0.238,0.219"
2013-05-03,600577.sh,本日精达股份的相关新闻标题如下：'精达股份累计回购1157万股 耗资约5800万元',neutral,"-0.018,-0.018,-0.018,-0.018,-0.018,-0.018,-0.018,-0.018,-0.018,-0.018"
