tic,time,open,high,low,close,volume,day
300750.sz,2018-06-11,30.17,36.2,30.17,36.2,788,0
300750.sz,2018-06-12,39.82,39.82,39.82,39.82,266,1
300750.sz,2018-06-13,43.8,43.8,43.8,43.8,450,2
300750.sz,2018-06-14,48.18,48.18,48.18,48.18,743,3
300750.sz,2018-06-15,53.0,53.0,53.0,53.0,2565,4
300750.sz,2018-06-19,58.3,58.3,58.3,58.3,11174,1
300750.sz,2018-06-20,64.13,64.13,64.13,64.13,13104,2
300750.sz,2018-06-21,70.54,70.54,70.54,70.54,12317,3
300750.sz,2018-06-22,72.0,72.71,63.49,66.55,1281706,4
300750.sz,2018-06-25,68.2,71.6,67.22,69.19,699820,0
300750.sz,2018-06-26,67.89,75.55,67.1,74.18,625535,1
300750.sz,2018-06-27,74.21,74.93,71.77,74.09,441389,2
300750.sz,2018-06-28,73.3,75.39,67.44,68.21,530810,3
300750.sz,2018-06-29,68.68,74.3,67.77,71.96,456986,4
300750.sz,2018-07-02,70.79,71.48,69.11,70.0,324702,0
300750.sz,2018-07-03,70.2,71.19,65.85,69.29,339101,1
300750.sz,2018-07-04,68.15,68.15,65.5,65.92,262822,2
300750.sz,2018-07-05,65.0,71.88,64.88,68.81,343378,3
300750.sz,2018-07-06,68.81,74.5,68.7,70.88,492134,4
300750.sz,2018-07-09,70.8,71.57,69.11,71.55,310690,0
300750.sz,2018-07-10,75.0,75.89,71.66,72.4,364844,1
300750.sz,2018-07-11,70.0,78.94,69.58,77.06,491208,2
300750.sz,2018-07-12,76.03,84.77,75.6,84.77,430852,3
300750.sz,2018-07-13,82.0,88.47,81.03,82.7,482021,4
300750.sz,2018-07-16,82.7,84.75,80.1,83.9,295152,0
300750.sz,2018-07-17,83.11,84.17,79.66,82.28,286153,1
300750.sz,2018-07-18,82.28,84.37,80.11,82.28,271138,2
300750.sz,2018-07-19,82.0,85.15,80.67,82.89,250745,3
300750.sz,2018-07-20,82.5,91.18,82.01,90.93,426956,4
300750.sz,2018-07-23,89.0,90.54,87.55,88.62,250144,0
300750.sz,2018-07-24,88.5,92.96,87.5,91.77,265010,1
300750.sz,2018-07-25,91.0,95.08,82.59,82.59,457193,2
300750.sz,2018-07-26,80.5,82.6,76.6,78.2,392870,3
300750.sz,2018-07-27,78.0,78.64,75.67,76.05,228096,4
300750.sz,2018-07-30,76.5,77.34,75.0,76.85,180418,0
300750.sz,2018-07-31,76.78,76.79,70.51,72.22,281283,1
300750.sz,2018-08-01,72.0,73.63,71.02,71.42,179336,2
300750.sz,2018-08-02,70.4,73.29,70.05,72.56,198535,3
300750.sz,2018-08-03,71.76,73.14,68.66,69.6,172889,4
300750.sz,2018-08-06,69.0,71.08,67.6,69.65,157069,0
300750.sz,2018-08-07,70.48,74.46,70.0,73.79,199649,1
300750.sz,2018-08-08,73.5,73.58,71.11,71.52,147708,2
300750.sz,2018-08-09,71.4,75.66,70.3,74.06,184749,3
300750.sz,2018-08-10,73.6,74.49,73.02,74.44,116739,4
300750.sz,2018-08-13,73.0,74.19,72.03,74.01,109496,0
300750.sz,2018-08-14,73.8,73.89,71.44,71.57,117356,1
300750.sz,2018-08-15,70.98,72.03,69.0,69.11,129167,2
300750.sz,2018-08-16,68.0,69.88,66.21,68.99,107153,3
