tic,time,open,high,low,close,volume,day
600468.sh,2012-01-04,14.08,14.22,13.3,13.36,9344,2
600468.sh,2012-01-05,13.34,13.35,12.02,12.18,20567,3
600468.sh,2012-01-06,12.28,12.41,11.33,12.19,15152,4
600468.sh,2012-01-09,11.9,12.58,11.81,12.57,13483,0
600468.sh,2012-01-10,12.5,13.46,12.42,13.0,48659,1
600468.sh,2012-01-11,12.9,13.38,12.88,13.09,32669,2
600468.sh,2012-01-12,13.14,13.76,12.97,13.7,46190,3
600468.sh,2012-01-13,13.7,13.7,12.61,12.84,31994,4
600468.sh,2012-01-16,12.59,12.59,11.56,11.83,21463,0
600468.sh,2012-01-17,11.75,12.84,11.65,12.83,34334,1
600468.sh,2012-01-18,12.85,13.16,12.31,12.32,26757,2
600468.sh,2012-01-19,12.33,12.55,12.13,12.49,15904,3
600468.sh,2012-01-20,12.49,12.78,12.49,12.67,10586,4
600468.sh,2012-01-30,12.88,12.88,12.4,12.42,13371,0
600468.sh,2012-01-31,12.42,12.51,11.98,12.19,10910,1
600468.sh,2012-02-01,12.29,12.41,12.0,12.07,8856,2
600468.sh,2012-02-02,12.12,12.31,11.92,12.3,15400,3
600468.sh,2012-02-03,12.29,13.38,12.2,13.28,57417,4
600468.sh,2012-02-06,13.22,13.48,13.01,13.34,40742,0
600468.sh,2012-02-07,13.22,13.22,12.77,12.93,34993,1
600468.sh,2012-02-08,12.9,13.85,12.75,13.72,48904,2
600468.sh,2012-02-09,13.7,13.96,13.55,13.83,57383,3
600468.sh,2012-02-10,13.81,14.26,13.63,13.9,53157,4
600468.sh,2012-02-13,13.81,14.3,13.66,14.15,40734,0
600468.sh,2012-02-14,14.14,14.24,13.83,14.03,27207,1
600468.sh,2012-02-15,14.03,14.28,13.78,14.15,34196,2
600468.sh,2012-02-16,14.15,14.68,14.03,14.35,44618,3
600468.sh,2012-02-17,14.32,14.45,13.88,14.08,34345,4
600468.sh,2012-02-20,14.25,14.58,14.15,14.25,49220,0
600468.sh,2012-02-21,14.21,14.48,13.89,14.27,38210,1
600468.sh,2012-02-22,14.39,14.97,14.3,14.79,73929,2
600468.sh,2012-02-23,14.86,14.95,14.4,14.8,46076,3
600468.sh,2012-02-24,14.73,15.05,14.65,14.85,39098,4
600468.sh,2012-02-27,15.0,15.84,14.91,15.42,75573,0
600468.sh,2012-02-28,15.4,16.1,15.22,16.01,76243,1
600468.sh,2012-02-29,16.0,16.03,15.5,15.63,39841,2
600468.sh,2012-03-01,15.65,15.85,15.41,15.73,38708,3
600468.sh,2012-03-02,16.0,16.5,15.74,15.87,47746,4
600468.sh,2012-03-05,15.8,16.27,15.38,16.2,76191,0
600468.sh,2012-03-07,15.7,16.07,15.53,15.64,40065,2
600468.sh,2012-03-08,15.68,16.1,15.65,15.81,44401,3
600468.sh,2012-03-09,15.8,16.24,15.7,16.2,43311,4
600468.sh,2012-03-12,16.34,16.58,16.1,16.45,43100,0
600468.sh,2012-03-13,16.46,16.75,16.3,16.45,37242,1
600468.sh,2012-03-14,16.46,16.6,14.98,15.34,61872,2
600468.sh,2012-03-15,15.02,15.49,14.2,14.56,38190,3
600468.sh,2012-03-16,14.7,15.09,14.56,15.07,24887,4
600468.sh,2012-03-19,15.09,15.45,14.91,15.32,24178,0
600468.sh,2012-03-20,15.28,15.4,14.45,14.71,32822,1
600468.sh,2012-03-21,14.7,15.6,14.7,15.57,54749,2
600468.sh,2012-03-22,15.7,15.7,15.25,15.39,33568,3
600468.sh,2012-03-23,15.18,15.24,14.5,14.87,31512,4
600468.sh,2012-03-26,14.8,14.9,14.3,14.63,14865,0
