tic,time,open,high,low,close,volume,day
002460.sz,2012-01-04,21.05,21.21,19.75,19.77,15968,2
002460.sz,2012-01-05,19.65,20.0,18.8,18.81,16894,3
002460.sz,2012-01-06,18.6,19.2,18.03,19.06,14548,4
002460.sz,2012-01-09,19.02,20.18,18.71,20.15,17862,0
002460.sz,2012-01-10,20.07,21.49,19.94,21.15,30693,1
002460.sz,2012-01-11,21.11,22.34,20.82,21.58,36112,2
002460.sz,2012-01-12,21.22,21.95,21.1,21.72,28452,3
002460.sz,2012-01-13,21.5,21.88,20.29,20.6,25031,4
002460.sz,2012-01-16,20.12,20.49,19.3,19.35,15275,0
002460.sz,2012-01-17,19.4,21.29,19.35,21.29,29404,1
002460.sz,2012-01-18,21.35,22.48,20.94,21.15,34865,2
002460.sz,2012-01-19,20.74,22.5,20.71,22.39,35556,3
002460.sz,2012-01-20,22.48,22.6,21.76,22.02,25106,4
002460.sz,2012-01-30,22.18,22.39,21.6,21.63,19243,0
002460.sz,2012-01-31,21.62,21.96,21.34,21.86,16722,1
002460.sz,2012-02-01,21.72,21.99,21.01,21.1,17889,2
002460.sz,2012-02-02,21.02,21.76,20.9,21.7,19087,3
002460.sz,2012-02-03,21.77,22.29,21.5,22.19,30105,4
002460.sz,2012-02-06,22.22,22.4,21.91,22.32,22433,0
002460.sz,2012-02-07,22.01,22.12,21.62,21.81,20717,1
002460.sz,2012-02-08,21.82,22.96,21.63,22.95,43077,2
002460.sz,2012-02-09,23.1,23.36,22.67,22.82,40467,3
002460.sz,2012-02-10,22.53,23.32,22.53,22.9,30295,4
002460.sz,2012-02-13,22.65,23.35,22.6,23.17,28594,0
002460.sz,2012-02-14,23.17,23.28,22.8,23.03,22380,1
002460.sz,2012-02-15,22.8,23.83,22.8,23.44,36272,2
002460.sz,2012-02-16,23.28,23.49,22.85,23.32,29509,3
002460.sz,2012-02-17,23.54,25.48,23.54,24.44,82679,4
002460.sz,2012-02-20,24.25,24.5,24.12,24.25,37784,0
002460.sz,2012-02-21,24.1,24.39,23.52,24.28,25687,1
002460.sz,2012-02-22,24.28,24.73,24.05,24.67,32912,2
002460.sz,2012-02-23,24.56,24.84,24.1,24.49,30382,3
002460.sz,2012-02-24,24.49,24.75,24.13,24.61,28035,4
002460.sz,2012-02-27,24.69,25.06,24.46,24.53,37500,0
002460.sz,2012-02-28,24.17,24.46,23.56,23.95,27021,1
002460.sz,2012-02-29,23.86,24.33,23.65,23.79,19477,2
002460.sz,2012-03-01,23.79,24.06,23.59,23.93,14864,3
002460.sz,2012-03-02,24.1,24.84,24.1,24.74,38686,4
002460.sz,2012-03-05,24.78,25.4,24.53,25.4,45280,0
002460.sz,2012-03-06,25.7,25.99,25.0,25.29,49654,1
002460.sz,2012-03-07,24.81,25.28,24.63,24.79,28610,2
002460.sz,2012-03-08,24.99,26.0,24.99,25.38,39573,3
002460.sz,2012-03-09,25.46,25.85,25.16,25.52,33731,4
002460.sz,2012-03-12,25.5,25.73,25.07,25.38,29868,0
002460.sz,2012-03-13,25.14,25.5,24.85,25.43,26924,1
002460.sz,2012-03-14,25.44,25.98,23.81,23.96,51045,2
002460.sz,2012-03-15,23.95,24.21,22.88,23.36,27275,3
002460.sz,2012-03-16,23.16,24.86,23.11,24.75,34878,4
002460.sz,2012-03-19,24.52,25.64,24.15,25.26,35394,0
002460.sz,2012-03-20,25.32,25.85,25.01,25.28,50207,1
002460.sz,2012-03-21,25.5,26.98,24.92,26.63,82982,2
002460.sz,2012-03-22,26.4,26.4,25.57,25.74,42907,3
002460.sz,2012-03-23,25.54,26.07,24.9,25.08,34107,4
002460.sz,2012-03-26,24.94,25.5,24.91,25.35,21972,0
002460.sz,2012-03-27,25.5,25.98,25.31,25.57,26724,1
002460.sz,2012-03-28,25.3,25.3,23.1,23.37,37883,2
002460.sz,2012-03-29,23.25,23.26,22.1,22.54,19739,3
002460.sz,2012-03-30,22.41,22.92,22.28,22.65,14350,4
002460.sz,2012-04-05,22.59,23.39,22.41,23.39,17580,3
002460.sz,2012-04-06,23.44,23.79,23.2,23.48,17919,4
002460.sz,2012-04-09,23.3,24.0,22.43,23.62,20106,0
002460.sz,2012-04-10,23.38,23.88,22.89,23.67,21705,1
002460.sz,2012-04-12,23.88,23.99,23.28,23.97,26925,3
002460.sz,2012-04-13,24.06,25.21,23.95,24.91,41567,4
002460.sz,2012-04-16,24.75,25.25,24.57,24.97,28790,0
002460.sz,2012-04-17,25.0,25.18,24.31,24.4,17535,1
002460.sz,2012-04-18,24.5,25.4,24.45,25.4,24493,2
002460.sz,2012-04-19,26.2,26.3,24.83,24.96,44313,3
002460.sz,2012-04-20,24.9,25.09,24.5,24.85,26554,4
002460.sz,2012-04-23,24.7,24.78,24.0,24.02,19989,0
002460.sz,2012-04-24,23.95,26.15,23.01,25.36,63850,1
002460.sz,2012-04-25,24.94,25.79,24.4,24.75,46597,2
002460.sz,2012-04-26,24.88,24.89,24.18,24.38,24619,3
002460.sz,2012-04-27,24.32,24.93,24.21,24.33,20643,4
002460.sz,2012-05-02,24.9,25.37,24.25,25.0,42418,2
002460.sz,2012-05-03,24.89,25.18,24.81,25.04,24166,3
002460.sz,2012-05-04,25.04,25.6,24.9,25.55,34741,4
002460.sz,2012-05-07,25.4,26.0,25.12,25.85,40715,0
002460.sz,2012-05-08,25.74,25.84,25.16,25.48,28163,1
002460.sz,2012-05-09,25.01,25.29,24.76,24.86,25091,2
002460.sz,2012-05-10,24.61,25.47,24.61,25.22,22189,3
002460.sz,2012-05-11,25.15,25.27,24.66,24.66,22706,4
002460.sz,2012-05-14,24.8,24.94,24.08,24.18,18037,0
002460.sz,2012-05-15,23.89,23.9,23.4,23.82,18180,1
002460.sz,2012-05-16,23.78,24.08,23.61,23.79,12989,2
002460.sz,2012-05-17,23.85,24.16,23.75,23.98,13385,3
002460.sz,2012-05-18,23.92,25.5,23.85,24.38,43392,4
002460.sz,2012-05-21,24.2,24.65,23.62,24.16,19124,0
002460.sz,2012-05-22,24.4,24.61,24.2,24.5,13041,1
002460.sz,2012-05-23,24.5,24.52,23.8,24.0,14392,2
002460.sz,2012-05-24,23.96,24.43,23.73,23.9,13942,3
002460.sz,2012-05-25,23.77,24.09,23.22,23.25,14790,4
002460.sz,2012-05-28,23.2,23.7,22.45,23.59,15677,0
