tic,time,open,high,low,close,volume,day
300647.sz,2017-05-03,10.75,12.9,10.75,12.9,93,2
300647.sz,2017-05-04,14.19,14.19,14.19,14.19,25,3
300647.sz,2017-05-05,15.61,15.61,15.61,15.61,36,4
300647.sz,2017-05-08,17.17,17.17,17.17,17.17,35,0
300647.sz,2017-05-09,18.89,18.89,18.89,18.89,85,1
300647.sz,2017-05-10,20.78,20.78,20.78,20.78,97,2
300647.sz,2017-05-11,22.86,22.86,22.86,22.86,280,3
300647.sz,2017-05-12,25.15,25.15,25.15,25.15,480,4
300647.sz,2017-05-15,27.67,27.67,27.67,27.67,497,0
300647.sz,2017-05-16,30.44,30.44,30.44,30.44,2069,1
300647.sz,2017-05-17,33.47,33.48,32.68,33.48,49050,2
300647.sz,2017-05-18,35.0,36.67,33.6,33.88,188856,3
300647.sz,2017-05-19,31.4,31.9,30.49,30.49,50922,4
300647.sz,2017-05-22,27.75,29.36,27.75,27.9,117237,0
300647.sz,2017-05-23,27.86,30.69,27.86,30.69,63635,1
300647.sz,2017-05-24,29.89,33.28,29.61,31.69,159196,2
300647.sz,2017-05-25,31.01,31.58,28.61,30.99,131024,3
300647.sz,2017-05-26,30.2,32.99,29.65,31.4,146458,4
300647.sz,2017-05-31,32.68,34.54,32.22,34.54,172307,2
300647.sz,2017-06-01,33.48,36.45,31.82,35.18,202530,3
300647.sz,2017-06-02,31.66,32.2,31.66,31.66,99534,4
300647.sz,2017-06-05,32.01,33.3,31.0,31.0,125152,0
300647.sz,2017-06-06,30.0,30.39,27.92,29.38,110751,1
300647.sz,2017-06-07,29.25,30.9,29.0,30.3,106897,2
300647.sz,2017-06-08,29.8,29.91,28.3,28.4,104980,3
300647.sz,2017-06-09,27.98,29.71,27.79,28.72,85623,4
300647.sz,2017-06-12,27.5,27.5,25.85,26.08,85951,0
300647.sz,2017-06-13,26.11,26.85,25.9,26.45,59971,1
300647.sz,2017-06-14,26.12,26.38,25.21,25.49,61830,2
300647.sz,2017-06-15,25.34,26.8,25.34,26.3,70441,3
300647.sz,2017-06-16,26.65,27.58,26.25,26.26,65857,4
300647.sz,2017-06-19,26.05,26.83,25.83,26.55,45922,0
300647.sz,2017-06-20,27.18,27.48,26.12,26.22,53469,1
300647.sz,2017-06-21,26.0,26.4,25.59,25.98,44019,2
300647.sz,2017-06-22,25.98,26.16,24.88,24.98,44434,3
