tic,time,open,high,low,close,volume,day
300014.sz,2012-01-04,13.49,13.54,12.57,12.58,23966,2
300014.sz,2012-01-05,12.35,12.56,11.7,11.73,28880,3
300014.sz,2012-01-06,11.7,12.08,11.2,12.05,29631,4
300014.sz,2012-01-09,11.93,12.65,11.7,12.59,33283,0
300014.sz,2012-01-10,12.5,13.25,12.42,13.15,37858,1
300014.sz,2012-01-11,13.37,13.98,13.1,13.38,48156,2
300014.sz,2012-01-12,13.01,13.65,13.01,13.29,36552,3
300014.sz,2012-01-13,13.3,13.34,12.46,12.57,42283,4
300014.sz,2012-01-16,12.3,12.38,11.76,11.78,17654,0
300014.sz,2012-01-17,11.8,12.87,11.79,12.83,31927,1
300014.sz,2012-01-18,12.78,13.19,12.27,12.32,33234,2
300014.sz,2012-01-19,12.32,12.93,12.17,12.82,25958,3
300014.sz,2012-01-20,13.1,13.1,12.65,12.91,22326,4
300014.sz,2012-01-30,12.95,13.23,12.72,12.93,26156,0
300014.sz,2012-01-31,12.85,13.08,12.58,12.92,15061,1
300014.sz,2012-02-01,12.9,13.15,12.74,12.83,19671,2
300014.sz,2012-02-02,12.83,13.2,12.83,13.18,24498,3
300014.sz,2012-02-03,13.2,13.52,13.07,13.49,33106,4
300014.sz,2012-02-06,13.57,13.6,13.33,13.45,26277,0
300014.sz,2012-02-07,13.31,13.4,13.01,13.1,24596,1
300014.sz,2012-02-08,13.11,13.68,12.96,13.64,41239,2
300014.sz,2012-02-09,13.6,14.06,13.5,13.71,43827,3
300014.sz,2012-02-10,13.69,13.88,13.54,13.75,27108,4
300014.sz,2012-02-13,13.75,14.19,13.56,14.0,32215,0
300014.sz,2012-02-14,14.0,14.1,13.8,14.0,27650,1
300014.sz,2012-02-15,14.0,14.33,13.92,14.28,36604,2
300014.sz,2012-02-16,14.26,14.3,13.87,14.1,34456,3
300014.sz,2012-02-17,14.2,15.09,14.2,14.42,64180,4
300014.sz,2012-02-20,14.55,14.59,14.3,14.32,33782,0
300014.sz,2012-02-21,14.2,14.46,13.97,14.44,30220,1
300014.sz,2012-02-22,14.41,14.79,14.38,14.74,47410,2
300014.sz,2012-02-23,14.81,15.08,14.64,15.05,45643,3
300014.sz,2012-02-24,14.8,14.97,14.63,14.92,62482,4
300014.sz,2012-02-27,14.89,15.06,14.78,14.8,51194,0
300014.sz,2012-02-28,14.66,14.75,14.19,14.38,45061,1
300014.sz,2012-02-29,14.35,14.62,14.2,14.28,24043,2
300014.sz,2012-03-01,14.2,14.55,14.19,14.36,24486,3
300014.sz,2012-03-02,14.46,14.73,14.46,14.7,35348,4
300014.sz,2012-03-05,14.72,14.88,14.63,14.69,32613,0
300014.sz,2012-03-06,14.8,14.95,14.55,14.69,49380,1
300014.sz,2012-03-07,14.43,15.04,14.34,14.87,55275,2
300014.sz,2012-03-08,15.14,15.3,14.97,15.09,61652,3
300014.sz,2012-03-09,15.2,15.25,14.92,15.18,44235,4
300014.sz,2012-03-12,15.18,15.35,15.01,15.34,45628,0
300014.sz,2012-03-13,15.3,15.39,15.01,15.27,37129,1
300014.sz,2012-03-14,15.28,15.5,14.23,14.38,62811,2
300014.sz,2012-03-15,14.36,14.5,13.9,14.2,39302,3
300014.sz,2012-03-16,14.35,14.79,14.01,14.69,36638,4
300014.sz,2012-03-19,14.67,15.2,14.46,15.11,39755,0
300014.sz,2012-03-20,15.15,15.38,14.83,14.88,55114,1
300014.sz,2012-03-21,15.07,16.36,14.6,16.03,105052,2
300014.sz,2012-03-22,15.74,15.95,15.47,15.77,60759,3
300014.sz,2012-03-23,15.69,16.1,15.3,15.35,54803,4
300014.sz,2012-03-26,15.18,15.78,15.16,15.66,35725,0
300014.sz,2012-03-27,15.95,15.95,15.16,15.2,43759,1
300014.sz,2012-03-28,15.0,15.0,14.06,14.14,43799,2
300014.sz,2012-03-29,14.05,14.25,13.68,14.16,30634,3
300014.sz,2012-03-30,14.15,14.34,13.9,14.2,23956,4
300014.sz,2012-04-05,14.24,14.66,14.04,14.61,27822,3
300014.sz,2012-04-06,14.61,14.87,14.25,14.59,31833,4
300014.sz,2012-04-09,14.35,14.55,14.12,14.29,21380,0
300014.sz,2012-04-10,14.18,14.35,13.58,14.31,25131,1
300014.sz,2012-04-11,14.11,14.4,13.98,14.33,19699,2
300014.sz,2012-04-12,14.42,14.67,14.2,14.63,31521,3
300014.sz,2012-04-13,14.69,15.1,14.45,14.85,41246,4
300014.sz,2012-04-16,14.74,14.85,14.52,14.67,26994,0
300014.sz,2012-04-17,14.66,15.0,14.62,14.66,25922,1
300014.sz,2012-04-18,14.76,15.33,14.66,15.26,44599,2
300014.sz,2012-04-19,15.79,15.86,14.83,14.9,77143,3
300014.sz,2012-04-23,14.59,14.64,13.66,13.75,69814,0
300014.sz,2012-04-24,13.54,14.62,13.31,14.15,61534,1
300014.sz,2012-04-25,13.9,14.07,13.52,13.87,32975,2
300014.sz,2012-04-26,14.0,14.0,13.71,13.75,19309,3
300014.sz,2012-04-27,13.85,13.96,13.7,13.79,18166,4
300014.sz,2012-05-02,14.01,14.25,13.81,14.05,30135,2
300014.sz,2012-05-03,13.97,14.08,13.88,14.0,18967,3
300014.sz,2012-05-04,13.98,14.19,13.92,14.16,25838,4
