,title,post_publish_time,code_name,content
2,超频三：截至目前 公司募投项目“锂电池正极关键材料生产基地建设一期子项目”厂房建设已基本封顶,2023-07-31 17:15:36,300647.sz,有投资者在投资者互动平台提问：云南项目进展情况，到哪个阶段了，不应该给股东披露一下么，股东应该有知情权吧 超频三（300647.SZ）7月31日在投资者互动平台表示，截至目前，公司募投项目“锂电池正极关键材料生产基地建设一期子项目”厂房建设已基本封顶，公司设备招投标程序已基本完成，设备已开始陆续进场。
3,大宗交易：超频三成交326.34万元，折价15.03%（07-21）,2023-07-21 16:33:33,300647.sz,2023年7月21日，超频三发生了1笔大宗交易，总成交55.5万股，成交金额326.34万元，成交价5.88元。当日收盘报价6.92元，跌幅1.98%，成交金额6922.56万元；大宗交易成交金额占当日成交金额4.71%，折价15.03%。 7月21日，罗欣药业、浙江建投、嘉美包装、协鑫能科、潜能恒信等公司均发生大宗交易，具体情况如下表：
6,大宗交易：超频三成交347.76万元，折价13.03%（07-05）,2023-07-05 16:37:25,300647.sz,2023年7月5日，超频三发生1笔大宗交易，总成交56万股，成交金额347.76万元，成交价6.21元，折价13.03%。
7,超频三：公司锂电池正极关键材料生产基地建设一期项目正全力加快推进建设,2023-07-04 22:01:49,300647.sz,有投资者在投资者互动平台提问：你好，董秘，贵公司新建电池工厂何时能投产？超频三（300647.SZ）7月4日在投资者互动平台表示，公司锂电池正极关键材料生产基地建设一期项目正全力加快推进建设。
8,超频三股东户数增加1.63%，户均持股11.14万元,2023-06-14 20:07:32,300647.sz,超频三2023年6月14日在深交所互动易中披露，截至2023年6月9日公司股东户数为2.78万户，较上期（2023年5月31日）增加445户，增幅为1.63%。 超频三股东户数低于行业平均水平。根据Choice数据，截至2023年6月9日电子行业上市公司平均股东户数为4.4万户。其中，公司股东户数处于0.5万~1.5万区间占比最高，为33.79%。  自2022年12月31日以来，公司股东户数连续4期上涨，截至目前增幅为12.26%。2022年12月31日至2023年6月9日区间股价下降13.63%。  截至2023年6月9日，公司最新总股本为4.57亿股，其中流通股本为4.44亿股。户均持有流通股数量由上期的1.62万股下降至1.6万股，户均流通市值11.14万元。 超频三户均持有流通市值低于行业平均水平。根据Choice数据，截至2023年6月9日，电子行业A股上市公司平均户均持有流通股市值为36.29万元。其中，26.67%的公司户均持有流通股市值在12万~24.5万区间内。
9,超频三：拟终止5G散热工业园建设募投项目，将剩余募资永久补充流动资金,2023-06-14 16:36:50,300647.sz,超频三6月14日公告，公司原“5G散热工业园建设项目”旨在通过新建生产基地，购置行业领先的生产及检测设备，实现5G散热产品产能扩充。本次募投项目生产的散热产品包括超薄热管、均热板、5G基站类散热模组等，主要应用于5G手机及其他智能终端设备、5G基站，解决5G时代智能终端散热升级需求和通信厂商的5G基站大功率散热需求。
13,超频三股东户数增加265户，户均持股11.46万元,2023-06-01 20:11:10,300647.sz,超频三最新股东户数2.73万户，呈现连续3期上升，低于行业平均水平。公司户均持有流通股份1.62万股；户均流通市值11.46万元。
14,超频三：锂电池正极关键材料生产基地建设一期项目厂房建设现已基本封顶,2023-05-22 13:43:09,300647.sz,超频三近期接受投资者调研时称，公司锂电池正极关键材料生产基地建设一期项目厂房建设现已基本封顶，部分设备已开始陆续进场。
15,浙商证券维持超频三买入评级 预计2023年净利润同比增长385.59%,2023-05-12 10:09:30,300647.sz,浙商证券5月12日发布研报，维持超频三买入评级。浙商证券预测，超频三2023年归母净利润9400万元，同比增长385.59%。
16,超频三：公司锂电池正极关键材料生产基地建设一期项目正全力加快推进建设中,2023-05-05 16:49:27,300647.sz,超频三5月5日在互动平台回答投资者提问时表示，公司锂电池正极关键材料生产基地建设一期项目正全力加快推进建设中。
29,大宗交易：超频三成交395.28万元，折价13.37%（02-17）,2023-02-17 16:28:33,300647.sz,2023年2月17日，超频三发生了1笔大宗交易，总成交54万股，成交金额395.28万元，成交价7.32元。当日收盘报价8.45元，跌幅1.52%，成交金额7774.95万元；大宗交易成交金额占当日成交金额5.08%，折价13.37%。 2月17日，盐湖股份、华凯易佰、北京君正、宁德时代、一心堂等公司均发生大宗交易，具体情况如下表：
30,超频三：预计22年年度归母净利润为1554万元至2331万元,2023-02-01 00:11:05,300647.sz,2023年01月30日，超频三发布2022年年度业绩预告，预计年度归属于上市公司股东的净利润为1554万元至2331万元，同比扭亏为盈；扣除非经常性损益后的净利润为294万元至441万元，同比扭亏为盈。
31,大宗交易：超频三成交384.48万元，折价16.04%（01-30）,2023-01-30 18:00:53,300647.sz,2023年1月30日，超频三发生1笔大宗交易，总成交54万股，成交金额384.48万元，成交价7.12元，折价16.04%。
32,超频三：控股股东、实控人之一张魁拟减持不超1%公司股份,2023-01-20 16:19:52,300647.sz,超频三1月20日公告，控股股东、实际控制人之一张魁直接持有公司股份3537.8988万股(占公司总股本的7.74%)，计划自公告披露之日起15个交易日后的6个月内以集中竞价方式减持公司股份不超过457.32万股(占公司总股本的1%)。
33,大宗交易：超频三成交369.3万元，折价15.25%（01-16）,2023-01-16 18:00:29,300647.sz,2023年1月16日，超频三发生1笔大宗交易，总成交53.6万股，成交金额369.3万元，成交价6.89元，折价15.25%。
34,超频三股东户数增加2.59%，户均持股13.69万元,2022-12-27 18:08:55,300647.sz,超频三2022年12月27日在深交所互动易中披露，截至2022年12月20日公司股东户数为2.55万户，较上期（2022年10月31日）增加645户，增幅为2.59%。 超频三股东户数低于行业平均水平。根据Choice数据，截至2022年12月20日电子行业上市公司平均股东户数为4.62万户。其中，公司股东户数处于1万~2.5万区间占比最高，为36.27%。  自2022年9月30日以来，公司股东户数连续3期上涨，截至目前增幅为7.92%。2022年9月30日至2022年12月20日区间股价上涨2.82%。  截至2022年12月20日，公司最新总股本为4.57亿股，其中流通股本为4.17亿股。户均持有流通股数量由上期的1.67万股下降至1.63万股，户均流通市值13.69万元。 超频三户均持有流通市值低于行业平均水平。根据Choice数据，截至2022年12月20日，电子行业A股上市公司平均户均持有流通股市值为32.02万元。其中，23.77%的公司户均持有流通股市值在10.5万~20万区间内，超频三也处在该区间范围内。
35,超频三人气较昨日提升2983 现居飙升榜第七,2022-12-20 11:08:11,300647.sz,截至12月20日11时，超频三最新人气排名第580，环比昨日人气排名提升2983位次，当前人气提升位次居飙升榜第7位。 
36,大宗交易：超频三成交378.05万元，折价12.44%（12-19）,2022-12-19 18:00:22,300647.sz,2022年12月19日，超频三发生了1笔大宗交易，总成交53.7万股，成交金额378.05万元，成交价7.04元。当日收盘报价8.04元，跌幅1.83%，成交金额4741.82万元；大宗交易成交金额占当日成交金额7.97%，折价12.44%。 12月19日，拓普集团、宁德时代、东方盛虹、云南白药、帝尔激光等公司均发生大宗交易，具体情况如下表：
37,大宗交易：超频三成交387.86万元，折价14.25%（11-30）,2022-11-30 18:00:45,300647.sz,2022年11月30日，超频三发生了1笔大宗交易，总成交53.72万股，成交金额387.86万元，成交价7.22元。当日收盘报价8.42元，跌幅0.59%，成交金额4648.33万元；大宗交易成交金额占当日成交金额8.34%，折价14.25%。 11月30日，金科股份、复旦微电、东易日盛、康泰生物、杉杉股份等公司均发生大宗交易，具体情况如下表：
