read amount,comments,title,content link,author,create time
49,0,中国银河7月13日快速上涨,"/news,601881,1330269750.html",中国银河资讯,07-13 09:37
83,0,中国银河07月12日被沪股通减持489.2万股,"/news,601881,1330241263.html",中国银河资讯,07-13 09:11
89,0,中国银河：融资净买入459.82万元，融资余额15亿元（07-12）,"/news,601881,1330225734.html",中国银河资讯,07-13 07:50
630,2,中国银河完成兑付短期融资券本息共计40.25亿元,"/news,601881,1330129015.html",中国银河资讯,07-12 07:03
81,0,中国银河7月12日快速上涨,"/news,601881,1329770299.html",中国银河资讯,07-12 09:36
100,0,中国银河07月11日被沪股通减持87.39万股,"/news,601881,1329745461.html",中国银河资讯,07-12 09:12
99,0,中国银河：融资净买入2550.41万元，融资余额14.95亿元（07-11）,"/news,601881,1329729145.html",中国银河资讯,07-12 07:33
122,0,中国银河07月10日被沪股通减持179.14万股,"/news,601881,1329303974.html",中国银河资讯,07-11 08:37
85,0,中国银河：连续7日融资净偿还累计1.19亿元（07-10）,"/news,601881,1329297581.html",中国银河资讯,07-11 07:47
2322,9,中国银河：可转债转股价格调整为9.7元/股,"/news,601881,1329219240.html",中国银河资讯,07-10 06:46
105,0,中国银河本周融资净偿还6578.37万元，居证券板块第三,"/news,601881,1328842382.html",大眼看两融,07-09 03:07
203,0,沪股通连续3周净买入中国银河 累计净买入1.31亿元,"/news,601881,1328837879.html",胖猫周周见,07-09 02:17
229,1,中国银河07月07日被沪股通减持71.64万股,"/news,601881,1328765964.html",中国银河资讯,07-08 09:16
134,0,中国银河：连续6日融资净偿还累计9727万元（07-07）,"/news,601881,1328759427.html",中国银河资讯,07-08 07:39
126,2,中国银河07月06日获沪股通增持208.04万股,"/news,601881,1328379915.html",中国银河资讯,07-07 09:09
90,0,中国银河：连续5日融资净偿还累计8655.64万元（07-06）,"/news,601881,1328365892.html",中国银河资讯,07-07 07:42
149,0,中国银河07月05日获沪股通增持109.48万股,"/news,601881,1327921815.html",中国银河资讯,07-06 09:11
125,0,中国银河：连续4日融资净偿还累计7904.21万元（07-05）,"/news,601881,1327905372.html",中国银河资讯,07-06 07:36
252,1,中国银河07月04日获沪股通增持300万股,"/news,601881,1327463838.html",中国银河资讯,07-05 09:03
106,0,中国银河：连续3日融资净偿还累计7316.51万元（07-04）,"/news,601881,1327450738.html",中国银河资讯,07-05 07:44
147,0,中国银河07月03日被沪股通减持276.12万股,"/news,601881,1327008331.html",中国银河资讯,07-04 09:07
85,0,中国银河：融资净偿还2452.64万元，融资余额15.33亿元（07-03）,"/news,601881,1326994829.html",中国银河资讯,07-04 07:45
486,4,西部证券首次给予中国银河增持评级 目标价12.66元,"/news,601881,1326955635.html",公司研报提示,07-03 10:50
310,0,中国银河：第二季度“中银转债”转股约2.10亿股 累计转股约2.10亿股,"/news,601881,1327347817.html",中国银河资讯,07-03 04:46
2700,9,中国银河：第二季度“中银转债”转股约2.10亿股 累计转股约2.10亿股,"/news,601881,1326869032.html",中国银河资讯,07-03 04:46
1991,4,中国银河：公司设置有分支机构为37家分公司、487家证券营业部,"/news,601881,1326867297.html",中国银河资讯,07-03 04:41
