read amount,comments,title,content link,author,create time
115,1,精达股份8月2日快速回调,"/news,600577,1337091083.html",精达股份资讯,08-02 09:47
91,0,精达股份：融资净买入4340.01万元，融资余额4.73亿元（08-01）,"/news,600577,1337033594.html",精达股份资讯,08-02 07:55
257,2,精达股份08月01日被沪股通减持959.16万股,"/news,600577,1337030624.html",精达股份资讯,08-02 07:33
174,2,南京证券南京大钟亭营业部今日净买入4821.19万,"/news,600577,1336935881.html",数据快报,08-01 05:45
5980,15,精达股份8月1日龙虎榜数据,"/news,600577,1336932142.html",精达股份资讯,08-01 05:26
13495,48,精达股份(600577)龙虎榜数据(08-01),"/news,600577,1336927389.html",精达股份资讯,08-01 05:09
664,0,多主力现身龙虎榜，精达股份涨停（08-01）,"/news,600577,1336927228.html",精达股份资讯,08-01 05:08
109,0,精达股份8月1日盘中涨停,"/news,600577,1336835060.html",精达股份资讯,08-01 01:55
78,0,精达股份：融资净偿还452.7万元，融资余额4.3亿元（07-31）,"/news,600577,1336583675.html",精达股份资讯,08-01 07:38
141,0,精达股份07月31日获沪股通增持179.89万股,"/news,600577,1336583312.html",精达股份资讯,08-01 07:35
108,0,精达股份本周融资净买入2307.05万元，居电网设备板块第六,"/news,600577,1336044581.html",大眼看两融,07-30 03:06
93,0,精达股份本周获沪股通增持32.94万股 最新持股量2252.15万股,"/news,600577,1336038947.html",胖猫周周见,07-30 02:11
231,0,精达股份07月28日获沪股通增持69.45万股,"/news,600577,1335946540.html",精达股份资讯,07-29 07:53
147,0,精达股份：连续3日融资净买入累计2525.36万元（07-28）,"/news,600577,1335944439.html",精达股份资讯,07-29 07:36
137,0,精达股份07月27日获沪股通增持192.49万股,"/news,600577,1335477220.html",精达股份资讯,07-28 07:55
84,0,精达股份：融资净买入1352.32万元，融资余额4.27亿元（07-27）,"/news,600577,1335475558.html",精达股份资讯,07-28 07:44
104,0,精达股份07月26日被沪股通减持179.41万股,"/news,600577,1335021800.html",精达股份资讯,07-27 07:52
84,1,精达股份：融资净买入422.88万元，融资余额4.13亿元（07-26）,"/news,600577,1335019545.html",精达股份资讯,07-27 07:38
114,1,精达股份07月25日被沪股通减持6.02万股,"/news,600577,1334553447.html",精达股份资讯,07-26 07:52
79,0,精达股份：融资净偿还372.53万元，融资余额4.09亿元（07-25）,"/news,600577,1334550714.html",精达股份资讯,07-26 07:36
1068,0,精达股份：公司有部分产品应用于EESM电机,"/news,600577,1334451530.html",精达股份资讯,07-25 05:49
807,1,精达股份：公司有部分产品应用于无稀土电机,"/news,600577,1334443170.html",精达股份资讯,07-25 05:21
1068,1,精达股份：子公司恒丰特导生产的高速线主要用于数据中心、5G信号基站等高速信息传输领域,"/news,600577,1334443007.html",精达股份资讯,07-25 05:21
786,1,精达股份：公司主营特种电磁线、特种导体以及模具制造和维修等生产、研发和销售业务,"/news,600577,1334443068.html",精达股份资讯,07-25 05:21
727,4,精达股份：公司有部分产品应用于机器人伺服电机,"/news,600577,1334441645.html",精达股份资讯,07-25 05:17
109,0,精达股份07月24日被沪股通减持43.57万股,"/news,600577,1334097345.html",精达股份资讯,07-25 07:50
90,0,精达股份：融资净买入154.22万元，融资余额4.13亿元（07-24）,"/news,600577,1334094275.html",精达股份资讯,07-25 07:32
96,0,精达股份本周融资净买入396.08万元，居电网设备板块第十九,"/news,600577,1333573219.html",大眼看两融,07-23 03:06
95,0,精达股份本周被沪股通减持413.18万股 最新持股量2219.21万股,"/news,600577,1333567533.html",胖猫周周见,07-23 02:11
158,0,精达股份07月21日被沪股通减持50.15万股,"/news,600577,1333488363.html",精达股份资讯,07-22 07:51
101,0,精达股份：融资净偿还14.88万元，融资余额4.11亿元（07-21）,"/news,600577,1333486976.html",精达股份资讯,07-22 07:39
280,5,精达股份07月20日被沪股通减持220.54万股,"/news,600577,1333062671.html",精达股份资讯,07-21 07:48
85,0,精达股份：融资净买入142.03万元，融资余额4.12亿元（07-20）,"/news,600577,1333060018.html",精达股份资讯,07-21 07:32
123,0,精达股份07月19日被沪股通减持133.63万股,"/news,600577,1332580471.html",精达股份资讯,07-20 07:48
77,0,精达股份：融资净买入235.4万元，融资余额4.1亿元（07-19）,"/news,600577,1332578063.html",精达股份资讯,07-20 07:36
118,0,精达股份07月18日被沪股通减持8.86万股,"/news,600577,1332145230.html",精达股份资讯,07-19 07:49
60,0,精达股份：融资净偿还3.19万元，融资余额4.08亿元（07-18）,"/news,600577,1332142447.html",精达股份资讯,07-19 07:32
94,0,精达股份：融资净买入36.72万元，融资余额4.08亿元（07-17）,"/news,600577,1331714375.html",精达股份资讯,07-18 07:34
77,0,融资融券周汇总：精达股份本周融资净买入101.71万元,"/news,600577,1331236465.html",大眼看两融,07-16 03:05
136,0,沪股通连续3周净买入精达股份 累计净买入4691.49万元,"/news,600577,1331230989.html",胖猫周周见,07-16 02:11
196,1,精达股份07月14日被沪股通减持180.37万股,"/news,600577,1331146622.html",精达股份资讯,07-15 07:50
87,0,精达股份：融资净偿还25.65万元，融资余额4.07亿元（07-14）,"/news,600577,1331145208.html",精达股份资讯,07-15 07:40
288,10,精达股份07月13日被沪股通减持24.33万股,"/news,600577,1330695549.html",精达股份资讯,07-14 07:49
83,1,精达股份：融资净买入126.04万元，融资余额4.08亿元（07-13）,"/news,600577,1330692964.html",精达股份资讯,07-14 07:34
149,0,精达股份07月12日获沪股通增持179.92万股,"/news,600577,1330225350.html",精达股份资讯,07-13 07:48
80,0,精达股份：融资净买入45.03万元，融资余额4.06亿元（07-12）,"/news,600577,1330225262.html",精达股份资讯,07-13 07:47
147,0,精达股份07月11日获沪股通增持217.99万股,"/news,600577,1329730634.html",精达股份资讯,07-12 07:42
92,0,精达股份：融资余额4.06亿元，创近一年新低（07-11）,"/news,600577,1329729969.html",精达股份资讯,07-12 07:38
118,1,精达股份07月10日被沪股通减持69.31万股,"/news,600577,1329298128.html",精达股份资讯,07-11 07:50
97,0,精达股份：融资余额4.06亿元，创近一年新低（07-10）,"/news,600577,1329295557.html",精达股份资讯,07-11 07:32
122,0,精达股份本周融资净偿还642.28万元，居电网设备板块第十三,"/news,600577,1328842042.html",大眼看两融,07-09 03:06
154,0,精达股份本周沪股通持股市值增加2042.5万元，居电网设备板块第七,"/news,600577,1328836388.html",胖猫周周见,07-09 02:12
175,2,精达股份07月07日被沪股通减持38.58万股,"/news,600577,1328760636.html",精达股份资讯,07-08 07:50
121,0,精达股份：融资余额4.06亿元，创近一年新低（07-07）,"/news,600577,1328758898.html",精达股份资讯,07-08 07:35
74,0,精达股份：融资净偿还365.97万元，融资余额4.08亿元（07-06）,"/news,600577,1328367047.html",精达股份资讯,07-07 07:50
138,0,精达股份07月06日获沪股通增持82.28万股,"/news,600577,1328366543.html",精达股份资讯,07-07 07:46
136,0,精达股份07月05日获沪股通增持20.26万股,"/news,600577,1327907829.html",精达股份资讯,07-06 07:49
89,0,精达股份：融资净买入433.71万元，融资余额4.11亿元（07-05）,"/news,600577,1327904188.html",精达股份资讯,07-06 07:30
194,0,精达股份07月04日获沪股通增持317.42万股,"/news,600577,1327449733.html",精达股份资讯,07-05 07:39
119,1,精达股份：融资余额4.07亿元，创近一年新低（07-04）,"/news,600577,1327448172.html",精达股份资讯,07-05 07:30
129,0,精达股份07月03日获沪股通增持95.68万股,"/news,600577,1326995301.html",精达股份资讯,07-04 07:48
98,0,精达股份：融资余额4.09亿元，创近一年新低（07-03）,"/news,600577,1326993518.html",精达股份资讯,07-04 07:38
268,0,精达股份：截至第二季度末“精达转债”累计转股约7441万股,"/news,600577,1327347432.html",精达股份资讯,07-03 04:02
804,8,精达股份：截至第二季度末“精达转债”累计转股约7441万股,"/news,600577,1326858034.html",精达股份资讯,07-03 04:02
140,0,精达股份本周融资净偿还2137.84万元，居电网设备板块第四,"/news,600577,1326464481.html",大眼看两融,07-02 03:06
124,0,精达股份本周沪股通持股市值增加2100.82万元，居电网设备板块第十,"/news,600577,1326458805.html",胖猫周周见,07-02 02:12
229,1,精达股份06月30日获沪股通增持177.06万股,"/news,600577,1326368170.html",精达股份资讯,07-01 07:40
119,0,精达股份：融资余额4.13亿元，创近一年新低（06-30）,"/news,600577,1326367329.html",精达股份资讯,07-01 07:34
170,0,精达股份06月29日获沪股通增持363.33万股,"/news,600577,1325934577.html",精达股份资讯,06-30 07:40
77,0,精达股份：融资余额4.17亿元，创近一年新低（06-29）,"/news,600577,1325933365.html",精达股份资讯,06-30 07:33
117,1,精达股份06月28日被沪股通减持114.1万股,"/news,600577,1325479616.html",精达股份资讯,06-29 07:45
69,0,精达股份：融资净买入90.78万元，融资余额4.23亿元（06-28）,"/news,600577,1325477158.html",精达股份资讯,06-29 07:29
966,1,精达股份：子公司恒丰特导北交所IPO申请获受理，公司持有80.69%股份,"/news,600577,1325359337.html",精达股份资讯,06-28 05:31
116,0,精达股份06月27日获沪股通增持113.61万股,"/news,600577,1325004781.html",精达股份资讯,06-28 07:43
83,0,精达股份：融资余额4.22亿元，创近一年新低（06-27）,"/news,600577,1325003200.html",精达股份资讯,06-28 07:33
