tic,time,open,high,low,close,volume,day
688567.sh,2020-07-17,34.0,37.0,27.01,27.96,923024,4
688567.sh,2020-07-20,27.5,30.87,27.0,29.45,482346,0
688567.sh,2020-07-21,29.25,31.21,28.42,29.78,397869,1
688567.sh,2020-07-22,28.9,29.56,28.25,29.15,291975,2
688567.sh,2020-07-23,28.8,29.15,27.31,28.3,291164,3
688567.sh,2020-07-24,27.9,29.54,27.33,27.74,314081,4
688567.sh,2020-07-27,27.88,28.7,25.75,26.36,265566,0
688567.sh,2020-07-28,26.4,27.0,25.88,26.09,137513,1
688567.sh,2020-07-29,26.3,27.24,25.94,27.02,149588,2
688567.sh,2020-07-30,27.04,28.0,26.84,27.16,135926,3
688567.sh,2020-07-31,27.16,27.47,26.84,27.2,132694,4
688567.sh,2020-08-03,27.44,28.95,27.4,28.64,214746,0
688567.sh,2020-08-04,28.72,29.5,27.98,28.24,150501,1
688567.sh,2020-08-05,28.21,29.22,27.81,28.9,134994,2
688567.sh,2020-08-06,28.8,29.32,28.03,28.44,134588,3
688567.sh,2020-08-07,28.49,28.49,26.85,27.74,153610,4
688567.sh,2020-08-10,27.44,27.6,27.0,27.3,78883,0
688567.sh,2020-08-11,27.2,27.65,26.0,26.03,114415,1
688567.sh,2020-08-12,26.05,26.83,25.71,26.66,75340,2
688567.sh,2020-08-13,26.64,26.82,26.01,26.17,48864,3
688567.sh,2020-08-14,26.1,26.55,25.97,26.39,46779,4
688567.sh,2020-08-17,26.42,26.85,26.27,26.76,55270,0
688567.sh,2020-08-18,26.72,26.76,26.0,26.26,66585,1
688567.sh,2020-08-19,26.28,26.35,25.68,25.68,62417,2
688567.sh,2020-08-20,25.59,25.59,24.66,24.7,83271,3
688567.sh,2020-08-21,24.97,25.16,24.71,24.87,37416,4
688567.sh,2020-08-24,24.88,24.95,23.88,24.05,68139,0
688567.sh,2020-08-25,24.19,24.29,23.08,23.45,108488,1
688567.sh,2020-08-26,23.77,23.77,22.66,22.77,61733,2
688567.sh,2020-08-27,22.79,23.14,22.4,22.87,69834,3
688567.sh,2020-08-28,22.79,24.28,22.71,23.79,93189,4
