tic,time,open,high,low,close,volume,day
600595.sh,2012-01-04,5.88,5.88,5.58,5.6,56574,2
600595.sh,2012-01-05,5.55,5.62,5.38,5.41,42965,3
600595.sh,2012-01-06,5.44,5.55,5.33,5.55,28575,4
600595.sh,2012-01-09,5.59,5.93,5.48,5.81,82664,0
600595.sh,2012-01-10,5.78,6.39,5.75,6.26,172100,1
600595.sh,2012-01-11,6.28,6.31,6.07,6.15,122795,2
600595.sh,2012-01-13,6.25,6.27,5.9,6.01,87435,4
600595.sh,2012-01-17,5.78,6.61,5.77,6.61,168160,1
600595.sh,2012-01-18,6.85,7.04,6.42,6.43,220721,2
600595.sh,2012-01-19,6.4,6.72,6.27,6.58,120184,3
600595.sh,2012-01-20,6.62,6.7,6.47,6.65,65417,4
600595.sh,2012-01-30,6.65,6.75,6.46,6.48,67468,0
600595.sh,2012-01-31,6.49,6.63,6.42,6.51,49226,1
600595.sh,2012-02-01,6.45,6.55,6.25,6.3,49624,2
600595.sh,2012-02-02,6.38,6.51,6.32,6.5,53077,3
600595.sh,2012-02-03,6.51,6.57,6.4,6.53,55740,4
600595.sh,2012-02-06,6.56,6.62,6.43,6.54,50514,0
600595.sh,2012-02-07,6.48,6.51,6.33,6.5,52814,1
600595.sh,2012-02-08,6.45,6.95,6.39,6.81,131577,2
600595.sh,2012-02-09,6.77,6.85,6.7,6.76,105151,3
600595.sh,2012-02-10,6.78,6.85,6.7,6.75,64104,4
600595.sh,2012-02-13,6.65,6.85,6.6,6.76,58813,0
600595.sh,2012-02-14,6.76,6.76,6.65,6.67,52814,1
600595.sh,2012-02-15,6.7,6.94,6.63,6.82,107915,2
600595.sh,2012-02-16,6.79,6.86,6.72,6.81,69385,3
600595.sh,2012-02-17,6.88,6.92,6.7,6.8,57028,4
600595.sh,2012-02-20,6.88,6.93,6.78,6.79,66049,0
600595.sh,2012-02-21,6.84,6.84,6.62,6.82,56360,1
600595.sh,2012-02-22,6.85,6.95,6.8,6.94,106018,2
600595.sh,2012-02-23,6.94,7.09,6.88,7.03,120983,3
600595.sh,2012-02-24,7.02,7.08,6.96,7.06,77742,4
600595.sh,2012-02-27,7.13,7.49,7.08,7.1,154409,0
600595.sh,2012-02-28,7.07,7.15,6.96,7.05,103885,1
